,column_name,no_results(complete),no_results(noduplicates),results,vocab_list
0,Chemical ID,0,0,[],[]
1,Cas RN,0,0,[],[]
2,Gene Symbol,8,5,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43568', 'http://edamontology.org/data_1026', 'http://semanticscience.org/resource/SIO_001383', 'http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0165', 'http://semanticscience.org/resource/GeneSymbol']","['http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SIO', 'http://data.bioontology.org/ontologies/SWO', 'http://data.bioontology.org/ontologies/TMO', 'http://data.bioontology.org/ontologies/ORTH', 'http://data.bioontology.org/ontologies/BIOMO', 'http://data.bioontology.org/ontologies/CHEAR']"
3,Gene ID,4,3,"['http://edamontology.org/data_2295', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48664', 'http://purl.obolibrary.org/obo/OBIws_0000191']","['http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SWO', 'http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/OBIWS']"
4,Gene Forms,0,0,[],[]
5,Organism,202,73,"['http://purl.bioontology.org/ontology/STY/T001', 'http://purl.bioontology.org/ontology/SNOMEDCT/410607006', 'http://purl.bioontology.org/ontology/RCD/X79o9', 'http://purl.obolibrary.org/obo/OBI_0100026', 'http://www.co-ode.org/ontologies/galen#Organism', 'http://www.w3.org/2001/sw/hcls/ns/transmed/TMO_0144', 'http://purl.org/cpr/organism', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Organisms', 'http://www.loria.fr/~coulet/ontology/snpontology/version1.6/snpontology_full.owl#organism', 'http://purl.dataone.org/odo/ECSO_00000312', 'http://purl.obolibrary.org/obo/LifO_0000005', 'http://sweet.jpl.nasa.gov/2.3/matrBiomass.owl#Organism', 'http://ontology.neuinfo.org/NIF/Backend/BIRNLex-OBO-UBO.owl#birnlex_2', 'https://code.ecoinformatics.org/code/semtools/trunk/dev/oboe/oboe-sbc.owl#Organism', 'http://ecoinformatics.org/oboe/oboe.1.0/oboe-biology.owl#Organism', 'http://purl.obolibrary.org/obo/CARO_0000012', 'http://purl.obolibrary.org/obo/FBbt_00000001', 'http://www.semanticweb.org/shoshana/ontologies/2014/8/untitled-ontology-8#Organism', 'http://purl.obolibrary.org/obo/MooculA_0000795', 'http://purl.obolibrary.org/obo/MooccuA_0000795', 'http://www.owl-ontologies.com/MO.owl#Organism', 'http://fusion.cs.uni-jena.de/fusion/repr/#Organism', 'http://purl.bioontology.org/ontology/CSP/4000-0232', 'http://www.bioassayontology.org/bao#BAO_0000551', 'http://uri.neuinfo.org/nif/nifstd/birnlex_2', 'http://www.bootstrep.eu/ontology/GRO#Organism', 'http://purl.obolibrary.org/obo/CARO_0010004', 'http://www.ifomis.org/acgt/1.0#Organism', 'http://www.owl-ontologies.com/Ontology1358660052.owl#Organism', 'http://jermontology.org/ontology/JERMOntology#Organism', 'http://purl.obolibrary.org/obo/SIO_010000', 'http://semanticscience.org/resource/SIO_010000', 'http://www.semanticweb.org/ontologies/2010/5/22/Ontology1277229984000.owl#HPI:0000001', 'http://purl.org/stemnet/MHC#Organism', 'http://lsdis.cs.uga.edu/projects/glycomics/propreo#organism', 'http://purl.obolibrary.org/obo/BSA_0000038', 'http://purl.obolibrary.org/obo/CiinteA_0000795', 'http://rdf.biosemantics.org/ontologies/genomecomponents#Organism', 'http://purl.obolibrary.org/obo/HaauraA_0000795', 'http://www.case.edu/EpSO.owl#Organism', 'http://gbol.life/0.1/Organism', 'http://purl.bioontology.org/net/brunel/panda#Organism', 'http://purl.org/net/OCRe/OCRe.owl#OCRE400064', 'http://mged.sourceforge.net/ontologies/MGEDOntology.owl#Organism', 'http://rs.tdwg.org/dwc/terms/Organism', 'http://bioontology.org/projects/ontologies/birnlex#birnlex_2', 'http://www.icn.ch/icnp#Organism', 'http://www.projecthalo.com/aura#Organism', 'http://chem.deri.ie/granatum#Organism', 'http://purl.obolibrary.org/obo/TrOn_0000024', 'http://purl.obolibrary.org/obo/ODGI.owl#Organism', 'http://onto.eva.mpg.de/ontologies/gfo-bio.owl#Organism', 'http://purl.obolibrary.org/obo/ID_0000075', 'http://www.semanticweb.org/jdr2160/ontologies/2015/5/venom_ontology#Organism', 'http://purl.obolibrary.org/obo/HaroreA_0000795', 'http://www.fao.org/aims/aos/cwr.owl#Organism', 'http://purl.obolibrary.org/obo/MoocciA_0000795', 'http://purl.obolibrary.org/obo/CisaviA_0000795', 'http://purl.obolibrary.org/obo/EKB_0000011', 'http://purl.obolibrary.org/obo/PhfumiA_0000795', 'http://semanticscience.org/resource/Organism', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14250', 'http://sweetontology.net/matrBiomass/Organism', 'http://doe-generated-ontology.com/OntoAD#Organism', 'http://www.stanford.edu/~coulet/phare.owl#Organism', 'http://bioontology.org/projects/ontologies/birnlex#birnlex_376', 'http://purl.obolibrary.org/obo/OMIT_0000052', 'http://purl.obolibrary.org/obo/WBbt_0007833', 'http://purl.obolibrary.org/obo/PhmammA_0000795', 'http://purl.jp/bio/4/id/200906079942882108', 'http://purl.bioontology.org/ontology/SNOMEDCT/410653004', 'http://purl.obolibrary.org/obo/UBERON_0000468', 'http://www.bridgmodel.org/owl#BiologicEntity']","['http://data.bioontology.org/ontologies/SNOMEDCT', 'http://data.bioontology.org/ontologies/NDFRT', 'http://data.bioontology.org/ontologies/RCD', 'http://data.bioontology.org/ontologies/ICD10CM', 'http://data.bioontology.org/ontologies/ICD10', 'http://data.bioontology.org/ontologies/MEDLINEPLUS', 'http://data.bioontology.org/ontologies/ICD10PCS', 'http://data.bioontology.org/ontologies/CLO', 'http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/CAO', 'http://data.bioontology.org/ontologies/STY', 'http://data.bioontology.org/ontologies/OGG', 'http://data.bioontology.org/ontologies/GALEN', 'http://data.bioontology.org/ontologies/IDO', 'http://data.bioontology.org/ontologies/TMO', 'http://data.bioontology.org/ontologies/CPRO', 'http://data.bioontology.org/ontologies/CSEO', 'http://data.bioontology.org/ontologies/VO', 'http://data.bioontology.org/ontologies/SNPO', 'http://data.bioontology.org/ontologies/ECSO', 'http://data.bioontology.org/ontologies/SP', 'http://data.bioontology.org/ontologies/INO', 'http://data.bioontology.org/ontologies/MIRNAO', 'http://data.bioontology.org/ontologies/OBCS', 'http://data.bioontology.org/ontologies/PROCCHEMICAL', 'http://data.bioontology.org/ontologies/ICO', 'http://data.bioontology.org/ontologies/MATR', 'http://data.bioontology.org/ontologies/ADAR', 'http://data.bioontology.org/ontologies/OBOE-SBC', 'http://data.bioontology.org/ontologies/MATRCOMPOUND', 'http://data.bioontology.org/ontologies/DIDEO', 'http://data.bioontology.org/ontologies/ODNAE', 'http://data.bioontology.org/ontologies/MATRELEMENT', 'http://data.bioontology.org/ontologies/FB-CV', 'http://data.bioontology.org/ontologies/ESFO', 'http://data.bioontology.org/ontologies/MOOCULADO', 'http://data.bioontology.org/ontologies/IDOBRU', 'http://data.bioontology.org/ontologies/MOC', 'http://data.bioontology.org/ontologies/VICO', 'http://data.bioontology.org/ontologies/MOOCCUADO', 'http://data.bioontology.org/ontologies/AGRO', 'http://data.bioontology.org/ontologies/LIFO', 'http://data.bioontology.org/ontologies/OPMI', 'http://data.bioontology.org/ontologies/OHMI', 'http://data.bioontology.org/ontologies/MONO', 'http://data.bioontology.org/ontologies/REPRODUCE-ME', 'http://data.bioontology.org/ontologies/RXNORM', 'http://data.bioontology.org/ontologies/VANDF', 'http://data.bioontology.org/ontologies/OMIM', 'http://data.bioontology.org/ontologies/CRISP', 'http://data.bioontology.org/ontologies/ICPC', 'http://data.bioontology.org/ontologies/PDQ', 'http://data.bioontology.org/ontologies/DRON', 'http://data.bioontology.org/ontologies/ENVO', 'http://data.bioontology.org/ontologies/BAO', 'http://data.bioontology.org/ontologies/SNMI', 'http://data.bioontology.org/ontologies/ATC', 'http://data.bioontology.org/ontologies/IDOMAL', 'http://data.bioontology.org/ontologies/ENM', 'http://data.bioontology.org/ontologies/FB-BT', 'http://data.bioontology.org/ontologies/SDO', 'http://data.bioontology.org/ontologies/GRO', 'http://data.bioontology.org/ontologies/ONTONEO', 'http://data.bioontology.org/ontologies/SYN', 'http://data.bioontology.org/ontologies/PCO', 'http://data.bioontology.org/ontologies/ACGT-MO', 'http://data.bioontology.org/ontologies/PEDTERM', 'http://data.bioontology.org/ontologies/JERM', 'http://data.bioontology.org/ontologies/RETO', 'http://data.bioontology.org/ontologies/ORTH', 'http://data.bioontology.org/ontologies/OGG-MM', 'http://data.bioontology.org/ontologies/MNR', 'http://data.bioontology.org/ontologies/OBI_BCGO', 'http://data.bioontology.org/ontologies/VIVO-ISF', 'http://data.bioontology.org/ontologies/HPIO', 'http://data.bioontology.org/ontologies/MINERAL', 'http://data.bioontology.org/ontologies/MHC', 'http://data.bioontology.org/ontologies/PROPREO', 'http://data.bioontology.org/ontologies/BSAO', 'http://data.bioontology.org/ontologies/OVAE', 'http://data.bioontology.org/ontologies/CIINTEADO', 'http://data.bioontology.org/ontologies/MSTDE', 'http://data.bioontology.org/ontologies/MATRROCKIGNEOUS', 'http://data.bioontology.org/ontologies/GCO', 'http://data.bioontology.org/ontologies/HAAURAADO', 'http://data.bioontology.org/ontologies/EPSO', 'http://data.bioontology.org/ontologies/GBOL', 'http://data.bioontology.org/ontologies/PANDA', 'http://data.bioontology.org/ontologies/UPHENO', 'http://data.bioontology.org/ontologies/OOSTT', 'http://data.bioontology.org/ontologies/ONS', 'http://data.bioontology.org/ontologies/EUPATH', 'http://data.bioontology.org/ontologies/OCMR', 'http://data.bioontology.org/ontologies/MEDDRA', 'http://data.bioontology.org/ontologies/NDDF', 'http://data.bioontology.org/ontologies/LOINC', 'http://data.bioontology.org/ontologies/MESH', 'http://data.bioontology.org/ontologies/ICD9CM', 'http://data.bioontology.org/ontologies/COSTART', 'http://data.bioontology.org/ontologies/HCPCS', 'http://data.bioontology.org/ontologies/ICPC2P', 'http://data.bioontology.org/ontologies/AI-RHEUM', 'http://data.bioontology.org/ontologies/HL7', 'http://data.bioontology.org/ontologies/OCRE', 'http://data.bioontology.org/ontologies/ROO', 'http://data.bioontology.org/ontologies/PR', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/CCONT', 'http://data.bioontology.org/ontologies/ERO', 'http://data.bioontology.org/ontologies/MO', 'http://data.bioontology.org/ontologies/OBIB', 'http://data.bioontology.org/ontologies/IDODEN', 'http://data.bioontology.org/ontologies/BCO', 'http://data.bioontology.org/ontologies/BIRNLEX', 'http://data.bioontology.org/ontologies/FLU', 'http://data.bioontology.org/ontologies/HUPSON', 'http://data.bioontology.org/ontologies/ICNP', 'http://data.bioontology.org/ontologies/AURA', 'http://data.bioontology.org/ontologies/REXO', 'http://data.bioontology.org/ontologies/CANCO', 'http://data.bioontology.org/ontologies/TRON', 'http://data.bioontology.org/ontologies/NCRO', 'http://data.bioontology.org/ontologies/OGDI', 'http://data.bioontology.org/ontologies/GFO-BIO', 'http://data.bioontology.org/ontologies/OPL', 'http://data.bioontology.org/ontologies/BCTEO', 'http://data.bioontology.org/ontologies/CU-VO', 'http://data.bioontology.org/ontologies/OBIWS', 'http://data.bioontology.org/ontologies/MATRROCK', 'http://data.bioontology.org/ontologies/HAROREADO', 'http://data.bioontology.org/ontologies/EGO', 'http://data.bioontology.org/ontologies/CCON', 'http://data.bioontology.org/ontologies/TYPON', 'http://data.bioontology.org/ontologies/MSTDE-FRE', 'http://data.bioontology.org/ontologies/MOOCCIADO', 'http://data.bioontology.org/ontologies/CISAVIADO', 'http://data.bioontology.org/ontologies/LHN', 'http://data.bioontology.org/ontologies/PHFUMIADO', 'http://data.bioontology.org/ontologies/CHEAR', 'http://data.bioontology.org/ontologies/MHCRO', 'http://data.bioontology.org/ontologies/ADALAB', 'http://data.bioontology.org/ontologies/CPT', 'http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/NCBITAXON', 'http://data.bioontology.org/ontologies/WHO-ART', 'http://data.bioontology.org/ontologies/MDDB', 'http://data.bioontology.org/ontologies/EFO', 'http://data.bioontology.org/ontologies/OBI', 'http://data.bioontology.org/ontologies/ECO', 'http://data.bioontology.org/ontologies/SIO', 'http://data.bioontology.org/ontologies/VIVO', 'http://data.bioontology.org/ontologies/SWEET', 'http://data.bioontology.org/ontologies/STATO', 'http://data.bioontology.org/ontologies/ONTOAD', 'http://data.bioontology.org/ontologies/OAE', 'http://data.bioontology.org/ontologies/PHARE', 'http://data.bioontology.org/ontologies/GO-PLUS', 'http://data.bioontology.org/ontologies/OMIT', 'http://data.bioontology.org/ontologies/OMRSE', 'http://data.bioontology.org/ontologies/BIOMO', 'http://data.bioontology.org/ontologies/WB-BT', 'http://data.bioontology.org/ontologies/PHMAMMADO', 'http://data.bioontology.org/ontologies/PDRO', 'http://data.bioontology.org/ontologies/KTAO', 'http://data.bioontology.org/ontologies/APOLLO-SV', 'http://data.bioontology.org/ontologies/IOBC', 'http://data.bioontology.org/ontologies/VDOT', 'http://data.bioontology.org/ontologies/OHPI', 'http://data.bioontology.org/ontologies/FOODON', 'http://data.bioontology.org/ontologies/GENEPIO', 'http://data.bioontology.org/ontologies/GENO', 'http://data.bioontology.org/ontologies/MONDO', 'http://data.bioontology.org/ontologies/CL', 'http://data.bioontology.org/ontologies/NBO', 'http://data.bioontology.org/ontologies/BRIDG', 'http://data.bioontology.org/ontologies/OCVDAE', 'http://data.bioontology.org/ontologies/PORO', 'http://data.bioontology.org/ontologies/CEPH', 'http://data.bioontology.org/ontologies/OBA', 'http://data.bioontology.org/ontologies/UBERON']"
6,Organism ID,0,0,[],[]
7,Interaction,46,24,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54216', 'http://sweetontology.net/phenSystem/Interaction', 'http://sweetontology.net/proc/Interaction', 'http://doe-generated-ontology.com/OntoAD#C1704675', 'http://www.biopax.org/release/biopax-level3.owl#Interaction', 'http://www.stanford.edu/~coulet/phare.owl#DrugInteraction', 'http://www.stanford.edu/~coulet/phare.owl#GeneProductInteraction', 'http://purl.obolibrary.org/obo/VariO_0236', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Interaction', 'http://aimlab.cs.uoregon.edu/smash/ontologies/social-activity.owl#Interaction', 'http://purl.obolibrary.org/obo/INO_0000002', 'http://sweet.jpl.nasa.gov/2.3/proc.owl#Interaction', 'http://sweet.jpl.nasa.gov/2.3/phenSystem.owl#Interaction', 'http://www.semanticweb.org/ontologies/2011/1/14/EMO.owl/EMO_00130', 'http://vocabularies.wikipathways.org/wp#Interaction', 'http://purl.obolibrary.org/obo/ODGI.owl#Interaction', 'http://vocabularies.wikipathways.org/gpml#Interaction', 'http://www.semanticweb.org/ontologies/2010/3/Ontology1271664172453.owl#Interaction', 'http://www.semanticweb.org/dimitrios/ontologies/2013/2/untitled-ontology-2#Interaction', 'http://purl.obolibrary.org/obo/MI_0317', 'http://purl.jp/bio/4/id/200906080120277910', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54708', 'http://doe-generated-ontology.com/OntoAD#C0687133', 'http://purl.bioontology.org/ontology/CST/DRUG%20INTERACTION']","['http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/SWEET', 'http://data.bioontology.org/ontologies/ONTOAD', 'http://data.bioontology.org/ontologies/DIKB', 'http://data.bioontology.org/ontologies/PHARE', 'http://data.bioontology.org/ontologies/VARIO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/SYN', 'http://data.bioontology.org/ontologies/SMASH', 'http://data.bioontology.org/ontologies/HINO', 'http://data.bioontology.org/ontologies/INO', 'http://data.bioontology.org/ontologies/PROCCHEMICAL', 'http://data.bioontology.org/ontologies/EMO', 'http://data.bioontology.org/ontologies/MATR', 'http://data.bioontology.org/ontologies/MNR', 'http://data.bioontology.org/ontologies/CHEMBIO', 'http://data.bioontology.org/ontologies/WIKIPATHWAYS', 'http://data.bioontology.org/ontologies/OGDI', 'http://data.bioontology.org/ontologies/MINERAL', 'http://data.bioontology.org/ontologies/MATRCOMPOUND', 'http://data.bioontology.org/ontologies/MATRELEMENT', 'http://data.bioontology.org/ontologies/GPML', 'http://data.bioontology.org/ontologies/MIM', 'http://data.bioontology.org/ontologies/PLIO', 'http://data.bioontology.org/ontologies/MATRROCK', 'http://data.bioontology.org/ontologies/MATRROCKIGNEOUS', 'http://data.bioontology.org/ontologies/MOC', 'http://data.bioontology.org/ontologies/CABRO', 'http://data.bioontology.org/ontologies/LIFO', 'http://data.bioontology.org/ontologies/ADALAB', 'http://data.bioontology.org/ontologies/MI', 'http://data.bioontology.org/ontologies/IOBC', 'http://data.bioontology.org/ontologies/COSTART']"
8,Interaction Actions,0,0,[],[]
9,PubMed IDs,0,0,[],[]
