,column_name,no_results(complete),no_results(noduplicates),results,vocab_list
0,GenAge ID,0,0,[],[]
1,symbol,47,8,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54191', 'http://purl.obolibrary.org/obo/IAO_0000028', 'http://purl.bioontology.org/ontology/HL7/C1698987', 'http://semanticscience.org/resource/SIO_000105', 'http://purl.bioontology.org/ontology/npo#NPO_1781', 'http://www.onto-med.de/ontologies/gfo.owl#Symbol', 'http://d-nb.info/gnd/4058716-2', 'http://semanticscience.org/resource/Symbol']","['http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/OBI', 'http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/HL7', 'http://data.bioontology.org/ontologies/SIO', 'http://data.bioontology.org/ontologies/CAO', 'http://data.bioontology.org/ontologies/IAO', 'http://data.bioontology.org/ontologies/STATO', 'http://data.bioontology.org/ontologies/NPO', 'http://data.bioontology.org/ontologies/TEO', 'http://data.bioontology.org/ontologies/NEMO', 'http://data.bioontology.org/ontologies/OBIB', 'http://data.bioontology.org/ontologies/AERO', 'http://data.bioontology.org/ontologies/ONTONEO', 'http://data.bioontology.org/ontologies/FLU', 'http://data.bioontology.org/ontologies/SP', 'http://data.bioontology.org/ontologies/ORTH', 'http://data.bioontology.org/ontologies/COGPO', 'http://data.bioontology.org/ontologies/ICO', 'http://data.bioontology.org/ontologies/OBI_BCGO', 'http://data.bioontology.org/ontologies/OMRSE', 'http://data.bioontology.org/ontologies/DDI', 'http://data.bioontology.org/ontologies/ONTODM-CORE', 'http://data.bioontology.org/ontologies/BIOMO', 'http://data.bioontology.org/ontologies/GFO-BIO', 'http://data.bioontology.org/ontologies/ONSTR', 'http://data.bioontology.org/ontologies/DIDEO', 'http://data.bioontology.org/ontologies/OBIWS', 'http://data.bioontology.org/ontologies/NIFDYS', 'http://data.bioontology.org/ontologies/EGO', 'http://data.bioontology.org/ontologies/IDOBRU', 'http://data.bioontology.org/ontologies/VICO', 'http://data.bioontology.org/ontologies/MIAPA', 'http://data.bioontology.org/ontologies/OHD', 'http://data.bioontology.org/ontologies/FAST-TOPICAL', 'http://data.bioontology.org/ontologies/DUO', 'http://data.bioontology.org/ontologies/NDDO', 'http://data.bioontology.org/ontologies/OOSTT', 'http://data.bioontology.org/ontologies/ONS', 'http://data.bioontology.org/ontologies/EUPATH', 'http://data.bioontology.org/ontologies/CHEAR', 'http://data.bioontology.org/ontologies/PDRO', 'http://data.bioontology.org/ontologies/APOLLO-SV', 'http://data.bioontology.org/ontologies/VDOT', 'http://data.bioontology.org/ontologies/FOODON', 'http://data.bioontology.org/ontologies/GENEPIO']"
2,aliases,0,0,[],[]
3,name,47,31,"['http://purl.bioontology.org/ontology/SNOMEDCT/703503000', 'http://purl.bioontology.org/ontology/LNC/MTHU008539', 'http://purl.bioontology.org/ontology/LNC/LP72974-6', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614', 'http://edamontology.org/data_2099', 'http://www.cogpo.org/ontologies/COGPO_00021', 'http://purl.bioontology.org/ontology/HL7/C1554107', 'http://semanticscience.org/resource/SIO_000116', 'http://www.w3.org/2006/vcard/ns#Name', 'http://sweetontology.net/propCategorical/Name', 'http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_2933000', 'http://www.ifomis.org/acgt/1.0#Name', 'http://purl.dataone.org/odo/ECSO_00001193', 'http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Name', 'http://sweet.jpl.nasa.gov/2.3/propCategorical.owl#Name', 'file:/Users/allanthird/Work/CARRE/CARREOntology/carre-ontology.xml#name', 'http://ecoinformatics.org/oboe/oboe.1.0/oboe-core.owl#Name', 'http://ecoinformatics.org/oboe/oboe.1.0/oboe.owl#Name', 'https://www.codamono.com/biointerchange/gfvo#Name', 'http://d-nb.info/gnd/4127959-1', 'http://www.knowledgegrid.org/koro#KORO_310', 'http://semanticscience.org/resource/Name', 'https://bioportal.bioontology.org/ontologies/DTO.owl#DTO:0002051', 'http://purl.obolibrary.org/obo/NCIT_C42614', 'http://purl.bioontology.org/ontology/SNOMEDCT/734841007', 'http://purl.bioontology.org/ontology/LNC/54125-0', 'http://purl.bioontology.org/ontology/MESH/D009275', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25191', 'http://purl.bioontology.org/ontology/NCBITAXON/55581', 'http://purl.obolibrary.org/obo/CHEBI_31916', 'http://purl.obolibrary.org/obo/NCBITaxon_55581']","['http://data.bioontology.org/ontologies/SNOMEDCT', 'http://data.bioontology.org/ontologies/LOINC', 'http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/HL7', 'http://data.bioontology.org/ontologies/SIO', 'http://data.bioontology.org/ontologies/SWO', 'http://data.bioontology.org/ontologies/ENM', 'http://data.bioontology.org/ontologies/VIVO', 'http://data.bioontology.org/ontologies/SWEET', 'http://data.bioontology.org/ontologies/NEMO', 'http://data.bioontology.org/ontologies/ACGT-MO', 'http://data.bioontology.org/ontologies/ECSO', 'http://data.bioontology.org/ontologies/SP', 'http://data.bioontology.org/ontologies/ORTH', 'http://data.bioontology.org/ontologies/COGPO', 'http://data.bioontology.org/ontologies/PROCCHEMICAL', 'http://data.bioontology.org/ontologies/MATR', 'http://data.bioontology.org/ontologies/MNR', 'http://data.bioontology.org/ontologies/VIVO-ISF', 'http://data.bioontology.org/ontologies/CARRE', 'http://data.bioontology.org/ontologies/BIOMO', 'http://data.bioontology.org/ontologies/OBOE-SBC', 'http://data.bioontology.org/ontologies/GFVO', 'http://data.bioontology.org/ontologies/MINERAL', 'http://data.bioontology.org/ontologies/MATRCOMPOUND', 'http://data.bioontology.org/ontologies/MATRELEMENT', 'http://data.bioontology.org/ontologies/MATRROCK', 'http://data.bioontology.org/ontologies/MATRROCKIGNEOUS', 'http://data.bioontology.org/ontologies/MOC', 'http://data.bioontology.org/ontologies/FAST-TOPICAL', 'http://data.bioontology.org/ontologies/KORO', 'http://data.bioontology.org/ontologies/CHEAR', 'http://data.bioontology.org/ontologies/DMTO', 'http://data.bioontology.org/ontologies/GENEPIO', 'http://data.bioontology.org/ontologies/MESH', 'http://data.bioontology.org/ontologies/NCBITAXON', 'http://data.bioontology.org/ontologies/CHEBI', 'http://data.bioontology.org/ontologies/NBO', 'http://data.bioontology.org/ontologies/FOODON']"
4,entrez gene id,2,1,['http://edamontology.org/data_1027'],"['http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/SWO']"
5,uniprot,4,4,"['http://purl.obolibrary.org/obo/MI_1097', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43579', 'http://purl.obolibrary.org/obo/MI_1098', 'http://purl.obolibrary.org/obo/MI_1099']","['http://data.bioontology.org/ontologies/MI', 'http://data.bioontology.org/ontologies/NCIT']"
6,why,0,0,[],[]
7,band,17,14,"['http://purl.bioontology.org/ontology/SNOMEDCT/77541009', 'http://purl.bioontology.org/ontology/SNOMEDCT/255281001', 'http://purl.bioontology.org/ontology/LNC/LP21271-9', 'http://purl.bioontology.org/ontology/RCD/X78vC', 'http://purl.bioontology.org/ontology/SNMI/A-13800', 'http://www.semanticweb.org/rjyy/ontologies/2015/5/ESSO#Band', 'http://purl.obolibrary.org/obo/HAO_0000163', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13432', 'http://www.radlex.org/RID/#RID6096', 'http://purl.obolibrary.org/obo/CL_0000560', 'http://purl.obolibrary.org/obo/TAO_0009254', 'http://doe-generated-ontology.com/OntoAD#C1521913', 'http://purl.obolibrary.org/obo/ZFA_0009254', 'http://purl.obolibrary.org/obo/TGMA_0000544']","['http://data.bioontology.org/ontologies/SNOMEDCT', 'http://data.bioontology.org/ontologies/LOINC', 'http://data.bioontology.org/ontologies/RCD', 'http://data.bioontology.org/ontologies/SNMI', 'http://data.bioontology.org/ontologies/ESSO', 'http://data.bioontology.org/ontologies/HAO', 'http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/RADLEX', 'http://data.bioontology.org/ontologies/CL', 'http://data.bioontology.org/ontologies/UBERON', 'http://data.bioontology.org/ontologies/TAO', 'http://data.bioontology.org/ontologies/ONTOAD', 'http://data.bioontology.org/ontologies/ZFA', 'http://data.bioontology.org/ontologies/TGMA', 'http://data.bioontology.org/ontologies/UPHENO', 'http://data.bioontology.org/ontologies/CHEAR']"
8,location start,0,0,[],[]
9,location end,0,0,[],[]
