,column_name,no_results(complete),no_results(noduplicates),results,vocab_list
0,symbol,47,8,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54191', 'http://purl.obolibrary.org/obo/IAO_0000028', 'http://purl.bioontology.org/ontology/HL7/C1698987', 'http://semanticscience.org/resource/SIO_000105', 'http://purl.bioontology.org/ontology/npo#NPO_1781', 'http://www.onto-med.de/ontologies/gfo.owl#Symbol', 'http://d-nb.info/gnd/4058716-2', 'http://semanticscience.org/resource/Symbol']","['http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/OBI', 'http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/HL7', 'http://data.bioontology.org/ontologies/SIO', 'http://data.bioontology.org/ontologies/CAO', 'http://data.bioontology.org/ontologies/IAO', 'http://data.bioontology.org/ontologies/STATO', 'http://data.bioontology.org/ontologies/NPO', 'http://data.bioontology.org/ontologies/TEO', 'http://data.bioontology.org/ontologies/NEMO', 'http://data.bioontology.org/ontologies/OBIB', 'http://data.bioontology.org/ontologies/AERO', 'http://data.bioontology.org/ontologies/ONTONEO', 'http://data.bioontology.org/ontologies/FLU', 'http://data.bioontology.org/ontologies/SP', 'http://data.bioontology.org/ontologies/ORTH', 'http://data.bioontology.org/ontologies/COGPO', 'http://data.bioontology.org/ontologies/ICO', 'http://data.bioontology.org/ontologies/OBI_BCGO', 'http://data.bioontology.org/ontologies/OMRSE', 'http://data.bioontology.org/ontologies/DDI', 'http://data.bioontology.org/ontologies/ONTODM-CORE', 'http://data.bioontology.org/ontologies/BIOMO', 'http://data.bioontology.org/ontologies/GFO-BIO', 'http://data.bioontology.org/ontologies/ONSTR', 'http://data.bioontology.org/ontologies/DIDEO', 'http://data.bioontology.org/ontologies/OBIWS', 'http://data.bioontology.org/ontologies/NIFDYS', 'http://data.bioontology.org/ontologies/EGO', 'http://data.bioontology.org/ontologies/IDOBRU', 'http://data.bioontology.org/ontologies/VICO', 'http://data.bioontology.org/ontologies/MIAPA', 'http://data.bioontology.org/ontologies/OHD', 'http://data.bioontology.org/ontologies/FAST-TOPICAL', 'http://data.bioontology.org/ontologies/DUO', 'http://data.bioontology.org/ontologies/NDDO', 'http://data.bioontology.org/ontologies/OOSTT', 'http://data.bioontology.org/ontologies/ONS', 'http://data.bioontology.org/ontologies/EUPATH', 'http://data.bioontology.org/ontologies/CHEAR', 'http://data.bioontology.org/ontologies/PDRO', 'http://data.bioontology.org/ontologies/APOLLO-SV', 'http://data.bioontology.org/ontologies/VDOT', 'http://data.bioontology.org/ontologies/FOODON', 'http://data.bioontology.org/ontologies/GENEPIO']"
1,name,47,31,"['http://purl.bioontology.org/ontology/SNOMEDCT/703503000', 'http://purl.bioontology.org/ontology/LNC/MTHU008539', 'http://purl.bioontology.org/ontology/LNC/LP72974-6', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C42614', 'http://edamontology.org/data_2099', 'http://www.cogpo.org/ontologies/COGPO_00021', 'http://purl.bioontology.org/ontology/HL7/C1554107', 'http://semanticscience.org/resource/SIO_000116', 'http://www.w3.org/2006/vcard/ns#Name', 'http://sweetontology.net/propCategorical/Name', 'http://purl.bioontology.org/NEMO/ontology/NEMO.owl#NEMO_2933000', 'http://www.ifomis.org/acgt/1.0#Name', 'http://purl.dataone.org/odo/ECSO_00001193', 'http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Name', 'http://sweet.jpl.nasa.gov/2.3/propCategorical.owl#Name', 'file:/Users/allanthird/Work/CARRE/CARREOntology/carre-ontology.xml#name', 'http://ecoinformatics.org/oboe/oboe.1.0/oboe-core.owl#Name', 'http://ecoinformatics.org/oboe/oboe.1.0/oboe.owl#Name', 'https://www.codamono.com/biointerchange/gfvo#Name', 'http://d-nb.info/gnd/4127959-1', 'http://www.knowledgegrid.org/koro#KORO_310', 'http://semanticscience.org/resource/Name', 'https://bioportal.bioontology.org/ontologies/DTO.owl#DTO:0002051', 'http://purl.obolibrary.org/obo/NCIT_C42614', 'http://purl.bioontology.org/ontology/SNOMEDCT/734841007', 'http://purl.bioontology.org/ontology/LNC/54125-0', 'http://purl.bioontology.org/ontology/MESH/D009275', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25191', 'http://purl.bioontology.org/ontology/NCBITAXON/55581', 'http://purl.obolibrary.org/obo/CHEBI_31916', 'http://purl.obolibrary.org/obo/NCBITaxon_55581']","['http://data.bioontology.org/ontologies/SNOMEDCT', 'http://data.bioontology.org/ontologies/LOINC', 'http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/EDAM', 'http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/HL7', 'http://data.bioontology.org/ontologies/SIO', 'http://data.bioontology.org/ontologies/SWO', 'http://data.bioontology.org/ontologies/ENM', 'http://data.bioontology.org/ontologies/VIVO', 'http://data.bioontology.org/ontologies/SWEET', 'http://data.bioontology.org/ontologies/NEMO', 'http://data.bioontology.org/ontologies/ACGT-MO', 'http://data.bioontology.org/ontologies/ECSO', 'http://data.bioontology.org/ontologies/SP', 'http://data.bioontology.org/ontologies/ORTH', 'http://data.bioontology.org/ontologies/COGPO', 'http://data.bioontology.org/ontologies/PROCCHEMICAL', 'http://data.bioontology.org/ontologies/MATR', 'http://data.bioontology.org/ontologies/MNR', 'http://data.bioontology.org/ontologies/VIVO-ISF', 'http://data.bioontology.org/ontologies/CARRE', 'http://data.bioontology.org/ontologies/BIOMO', 'http://data.bioontology.org/ontologies/OBOE-SBC', 'http://data.bioontology.org/ontologies/GFVO', 'http://data.bioontology.org/ontologies/MINERAL', 'http://data.bioontology.org/ontologies/MATRCOMPOUND', 'http://data.bioontology.org/ontologies/MATRELEMENT', 'http://data.bioontology.org/ontologies/MATRROCK', 'http://data.bioontology.org/ontologies/MATRROCKIGNEOUS', 'http://data.bioontology.org/ontologies/MOC', 'http://data.bioontology.org/ontologies/FAST-TOPICAL', 'http://data.bioontology.org/ontologies/KORO', 'http://data.bioontology.org/ontologies/CHEAR', 'http://data.bioontology.org/ontologies/DMTO', 'http://data.bioontology.org/ontologies/GENEPIO', 'http://data.bioontology.org/ontologies/MESH', 'http://data.bioontology.org/ontologies/NCBITAXON', 'http://data.bioontology.org/ontologies/CHEBI', 'http://data.bioontology.org/ontologies/NBO', 'http://data.bioontology.org/ontologies/FOODON']"
2,locus group,0,0,[],[]
3,locus type,0,0,[],[]
4,status,26,20,"['http://purl.bioontology.org/ontology/SNOMEDCT/263490005', 'http://purl.bioontology.org/ontology/LNC/MTHU015827', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25688', 'http://purl.bioontology.org/ontology/RCD/XC00C', 'http://purl.bioontology.org/ontology/HL7/C0449438', 'http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Status', 'http://www.co-ode.org/ontologies/galen#Status', 'http://www.semanticweb.org/ontologies/2012/0/Ontology1325521724189.owl#Status', 'http://purl.obolibrary.org/obo/SO_0000905', 'http://www.owl-ontologies.com/Ontology1172270693.owl#Status', 'http://www.icn.ch/icnp#Status', 'http://aimlab.cs.uoregon.edu/smash/ontologies/social-activity.owl#Status', 'http://www.ontodm.com/OntoDM-core/OntoDM_000059', 'http://id.loc.gov/ontologies/bibframe/Status', 'http://knoesis.wright.edu/ParasiteExperiment.owl#status', 'http://purl.obolibrary.org/obo/WSIO_data_010', 'http://rds.posccaesar.org/2008/02/OWL/ISO-15926-2_2003#Status', 'http://www.semanticweb.org/abed/ontologies/2015/2/untitled-ontology-346#Status', 'http://fusion.cs.uni-jena.de/fusion/repr/#Status', 'http://doe-generated-ontology.com/OntoAD#C0699806']","['http://data.bioontology.org/ontologies/SNOMEDCT', 'http://data.bioontology.org/ontologies/LOINC', 'http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/RCD', 'http://data.bioontology.org/ontologies/HL7', 'http://data.bioontology.org/ontologies/APAONTO', 'http://data.bioontology.org/ontologies/GALEN', 'http://data.bioontology.org/ontologies/CTO', 'http://data.bioontology.org/ontologies/SO', 'http://data.bioontology.org/ontologies/FHHO', 'http://data.bioontology.org/ontologies/ICNP', 'http://data.bioontology.org/ontologies/SMASH', 'http://data.bioontology.org/ontologies/ORTH', 'http://data.bioontology.org/ontologies/ONTODM-CORE', 'http://data.bioontology.org/ontologies/BIBFRAME', 'http://data.bioontology.org/ontologies/PEO', 'http://data.bioontology.org/ontologies/WSIO', 'http://data.bioontology.org/ontologies/ISO-ANNOTATIONS', 'http://data.bioontology.org/ontologies/RDL', 'http://data.bioontology.org/ontologies/ISO-15926-2_2003', 'http://data.bioontology.org/ontologies/FALL', 'http://data.bioontology.org/ontologies/ENTITY', 'http://data.bioontology.org/ontologies/BIBLIOTEK-O', 'http://data.bioontology.org/ontologies/REPRODUCE-ME', 'http://data.bioontology.org/ontologies/BFLC', 'http://data.bioontology.org/ontologies/ONTOAD']"
5,location,78,43,"['http://purl.bioontology.org/ontology/SNOMEDCT/246267002', 'http://purl.bioontology.org/ontology/LNC/LP149876-7', 'http://purl.bioontology.org/ontology/LNC/MTHU043904', 'http://purl.bioontology.org/ontology/RCD/X75Rz', 'http://www.radlex.org/RID/#RID39038', 'http://purl.bioontology.org/ontology/HL7/C1550511', 'http://purl.bioontology.org/ontology/HL7/C1555588', 'http://cbo.biocomplexity.indiana.edu/svn/cbo/trunk/CBO_1_1_0.owl#Location', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Location', 'http://www.owl-ontologies.com/Ontology1239104585.owl#Location', 'http://www.w3.org/ns/prov#Location', 'http://purl.obolibrary.org/obo/ExO_0000017', 'http://rs.tdwg.org/dwc/dwctype/Location', 'http://www.owl-ontologies.com/RCTOntology.owl#Location', 'http://www.semanticweb.org/rjyy/ontologies/2015/5/ESSO#Location', 'http://rdf.geospecies.org/ont/geospecies#Location', 'http://purl.org/dc/terms/Location', 'http://sweet.jpl.nasa.gov/2.3/propSpaceLocation.owl#Location', 'http://www.w3.org/2006/vcard/ns#Location', 'http://vivoweb.org/ontology/core#Location', 'http://www.semanticweb.org/chen/ontologies/2015/8/untitled-ontology-72#Location', 'https://code.ecoinformatics.org/code/semtools/trunk/dev/oboe/oboe-sbc.owl#Location', 'http://purl.obolibrary.org/obo/EKB_0000001', 'http://omv.ontoware.org/2005/05/ontology#Location', 'http://data.bnf.fr/ark:/12148/cb13505213j', 'http://bioportal.bioontology.org/ontologies/FISHO#FISHO_0000090', 'http://psink.de/scio/Location', 'http://def.seegrid.csiro.au/isotc211/iso19115/2003/code/TopicCategory/location', 'http://gbol.life/0.1/Location', 'http://www.semanticweb.org/projectlab/ontologies/2016/8/untitled-ontology-23#Location', 'http://www.semanticweb.org/schra/ontologies/2017/4/PRIME_NewOntology#Location', 'http://www.geosciml.org/vocabularies/iso-19115-codelists.owl#location', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25341', 'http://sweetontology.net/propSpaceLocation/Location', 'http://purl.obolibrary.org/obo/ID_0000053', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13717', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C127336', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C127214', 'http://purl.obolibrary.org/obo/PATO_0000140', 'http://purl.org/obo/owl/PATO#PATO_0000140', 'http://purl.obolibrary.org/obo/TRAK_0001519', 'http://purl.obolibrary.org/obo/TRAK_0000291', 'http://www.limics.fr/ontologies/ontoparonsoc#Louer']","['http://data.bioontology.org/ontologies/SNOMEDCT', 'http://data.bioontology.org/ontologies/LOINC', 'http://data.bioontology.org/ontologies/RCD', 'http://data.bioontology.org/ontologies/RADLEX', 'http://data.bioontology.org/ontologies/HL7', 'http://data.bioontology.org/ontologies/CBO', 'http://data.bioontology.org/ontologies/CSEO', 'http://data.bioontology.org/ontologies/BCGO', 'http://data.bioontology.org/ontologies/PROVO', 'http://data.bioontology.org/ontologies/EXO', 'http://data.bioontology.org/ontologies/BCO', 'http://data.bioontology.org/ontologies/DIAGONT', 'http://data.bioontology.org/ontologies/ESSO', 'http://data.bioontology.org/ontologies/GEOSPECIES', 'http://data.bioontology.org/ontologies/PROCCHEMICAL', 'http://data.bioontology.org/ontologies/MATR', 'http://data.bioontology.org/ontologies/MNR', 'http://data.bioontology.org/ontologies/VIVO-ISF', 'http://data.bioontology.org/ontologies/MEDEON', 'http://data.bioontology.org/ontologies/OBOE-SBC', 'http://data.bioontology.org/ontologies/MINERAL', 'http://data.bioontology.org/ontologies/MATRCOMPOUND', 'http://data.bioontology.org/ontologies/GMO', 'http://data.bioontology.org/ontologies/MATRELEMENT', 'http://data.bioontology.org/ontologies/NIDM-RESULTS', 'http://data.bioontology.org/ontologies/MATRROCK', 'http://data.bioontology.org/ontologies/BRIDG', 'http://data.bioontology.org/ontologies/MATRROCKIGNEOUS', 'http://data.bioontology.org/ontologies/MOC', 'http://data.bioontology.org/ontologies/MPO', 'http://data.bioontology.org/ontologies/LHN', 'http://data.bioontology.org/ontologies/MIAPA', 'http://data.bioontology.org/ontologies/OMV', 'http://data.bioontology.org/ontologies/BIBLIOTEK-O', 'http://data.bioontology.org/ontologies/FAST-TOPICAL', 'http://data.bioontology.org/ontologies/FISHO', 'http://data.bioontology.org/ontologies/REPRODUCE-ME', 'http://data.bioontology.org/ontologies/SCIO', 'http://data.bioontology.org/ontologies/ISO19115TCC', 'http://data.bioontology.org/ontologies/GBOL', 'http://data.bioontology.org/ontologies/DCT', 'http://data.bioontology.org/ontologies/MRO', 'http://data.bioontology.org/ontologies/PSO', 'http://data.bioontology.org/ontologies/ISO19115PR', 'http://data.bioontology.org/ontologies/CHEAR', 'http://data.bioontology.org/ontologies/NCIT', 'http://data.bioontology.org/ontologies/VIVO', 'http://data.bioontology.org/ontologies/SWEET', 'http://data.bioontology.org/ontologies/CANONT', 'http://data.bioontology.org/ontologies/ADALAB-META', 'http://data.bioontology.org/ontologies/ENVO', 'http://data.bioontology.org/ontologies/PATO', 'http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/MS', 'http://data.bioontology.org/ontologies/FYPO', 'http://data.bioontology.org/ontologies/NBO', 'http://data.bioontology.org/ontologies/ONTONEO', 'http://data.bioontology.org/ontologies/FLOPO', 'http://data.bioontology.org/ontologies/HUPSON', 'http://data.bioontology.org/ontologies/TRAK', 'http://data.bioontology.org/ontologies/CMPO', 'http://data.bioontology.org/ontologies/NIFDYS', 'http://data.bioontology.org/ontologies/FB-CV', 'http://data.bioontology.org/ontologies/AGRO', 'http://data.bioontology.org/ontologies/OMP', 'http://data.bioontology.org/ontologies/ONTOPARON_SOCIAL', 'http://data.bioontology.org/ontologies/MONDO']"
6,location sortable,0,0,[],[]
7,alias symbol,0,0,[],[]
8,alias name,1,1,['http://purl.bioontology.org/ontology/SNOMEDCT/446211000124102'],['http://data.bioontology.org/ontologies/SNOMEDCT']
9,prev symbol,0,0,[],[]
