,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
0,Chemical ID,26,17,"['http://www.geneontology.org/formats/oboInOwl#id', 'http://purl.obolibrary.org/obo/RO_0002262', 'http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/RO_0002601', 'http://purl.org/dc/elements/1.1/identifier', 'http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000673', 'http://purl.org/dc/terms/identifier', 'http://semanticscience.org/resource/SIO_001242', 'http://semanticscience.org/resource/SIO_000672', 'http://semanticscience.org/resource/SIO_000674', 'http://purl.org/net/orth#taxRangeId']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
1,Cas RN,3,2,"['http://purl.obolibrary.org/obo/so#RNAMOD', 'http://purl.obolibrary.org/obo/CDAO_0000158']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
2,Gene Symbol,14,9,"['http://www.geneontology.org/formats/oboInOwl#gene', 'http://uri.neuinfo.org/nif/nifstd/readable/gene_Ontology_ID', 'http://purl.obolibrary.org/obo/RO_0004000', 'http://purl.obolibrary.org/obo/RO_0002204', 'http://purl.obolibrary.org/obo/RO_0002435', 'http://purl.obolibrary.org/obo/RO_0002205', 'http://purl.obolibrary.org/obo/RO_0004010', 'http://semanticscience.org/resource/SIO_001097', 'http://semanticscience.org/resource/SIO_000425']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
3,Gene ID,38,25,"['http://www.geneontology.org/formats/oboInOwl#gene', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://uri.neuinfo.org/nif/nifstd/readable/gene_Ontology_ID', 'http://purl.obolibrary.org/obo/RO_0004000', 'http://purl.obolibrary.org/obo/RO_0002204', 'http://purl.obolibrary.org/obo/RO_0002435', 'http://purl.obolibrary.org/obo/RO_0002205', 'http://purl.obolibrary.org/obo/RO_0004010', 'http://semanticscience.org/resource/SIO_001097', 'http://semanticscience.org/resource/SIO_000425', 'http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/RO_0002601', 'http://purl.org/dc/elements/1.1/identifier', 'http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000673', 'http://purl.org/dc/terms/identifier', 'http://semanticscience.org/resource/SIO_001242', 'http://semanticscience.org/resource/SIO_000672', 'http://semanticscience.org/resource/SIO_000674', 'http://purl.org/net/orth#taxRangeId']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
4,Gene Forms,14,9,"['http://www.geneontology.org/formats/oboInOwl#gene', 'http://uri.neuinfo.org/nif/nifstd/readable/gene_Ontology_ID', 'http://purl.obolibrary.org/obo/RO_0004000', 'http://purl.obolibrary.org/obo/RO_0002204', 'http://purl.obolibrary.org/obo/RO_0002435', 'http://purl.obolibrary.org/obo/RO_0002205', 'http://purl.obolibrary.org/obo/RO_0004010', 'http://semanticscience.org/resource/SIO_001097', 'http://semanticscience.org/resource/SIO_000425']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
5,Organism,3,2,"['http://uri.neuinfo.org/nif/nifstd/readable/hasCoveringOrganism', 'http://purl.obolibrary.org/obo/RO_0002010']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
6,Organism ID,27,18,"['http://www.geneontology.org/formats/oboInOwl#id', 'http://uri.neuinfo.org/nif/nifstd/readable/hasCoveringOrganism', 'http://purl.obolibrary.org/obo/RO_0002010', 'http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/RO_0002601', 'http://purl.org/dc/elements/1.1/identifier', 'http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000673', 'http://purl.org/dc/terms/identifier', 'http://semanticscience.org/resource/SIO_001242', 'http://semanticscience.org/resource/SIO_000672', 'http://semanticscience.org/resource/SIO_000674', 'http://purl.org/net/orth#taxRangeId']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
7,Interaction,10,5,"['http://purl.obolibrary.org/obo/RO_0002563', 'http://purl.obolibrary.org/obo/RO_0002443', 'http://purl.obolibrary.org/obo/RO_0002564', 'http://purl.obolibrary.org/obo/RO_0002446', 'http://purl.obolibrary.org/obo/RO_0002574']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
8,Interaction Actions,11,6,"['http://purl.obolibrary.org/obo/UBPROP_0000014', 'http://purl.obolibrary.org/obo/RO_0002563', 'http://purl.obolibrary.org/obo/RO_0002443', 'http://purl.obolibrary.org/obo/RO_0002564', 'http://purl.obolibrary.org/obo/RO_0002446', 'http://purl.obolibrary.org/obo/RO_0002574']","['http://data.bioontology.org/ontologies/NIFSTD', 'http://data.bioontology.org/ontologies/ORTH']"
9,PubMed IDs,0,0,[],[]
