,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
0,GenAge ID,0,0,[],[]
1,symbol,2,2,"['http://identifiers.org/biomodels.vocabulary#symbol', 'http://www.orpha.net/ORDO/Orphanet_#symbol']","['http://data.bioontology.org/ontologies/ADALAB-META', 'http://data.bioontology.org/ontologies/HORD']"
2,aliases,0,0,[],[]
3,name,3,3,"['http://rdfs.org/sioc/ns#name', 'http://rdf.adalab-project.org/ontology/adalab/name', 'http://identifiers.org/biomodels.vocabulary#name']","['http://data.bioontology.org/ontologies/HORD', 'http://data.bioontology.org/ontologies/ADALAB-META']"
4,entrez gene id,0,0,[],[]
5,uniprot,0,0,[],[]
6,why,0,0,[],[]
7,band,0,0,[],[]
8,location start,0,0,[],[]
9,location end,0,0,[],[]
10,orientation,0,0,[],[]
11,acc promoter,0,0,[],[]
12,acc orf,0,0,[],[]
13,acc cds,0,0,[],[]
14,references,2,1,['http://purl.org/dc/terms/references'],"['http://data.bioontology.org/ontologies/ADALAB-META', 'http://data.bioontology.org/ontologies/HORD']"
15,orthologs,0,0,[],[]
,,,,,
Total M,3,,,,
Total,16,,,,
Precision,19%,,,,
