,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
0,symbol,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
1,name,9,3,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
2,locus group,9,3,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Group', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Specific_Databases', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Type']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
3,locus type,12,4,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Type', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Group', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Specific_Databases', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Record_Type']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
4,status,3,1,['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Status'],"['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
5,location,0,0,[],[]
6,location sortable,0,0,[],[]
7,alias symbol,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
8,alias name,9,3,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
9,prev symbol,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
10,prev name,9,3,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
11,gene family,25,9,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://scai.fraunhofer.de/PTS#hasGene', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/PTS', 'http://data.bioontology.org/ontologies/HGNC']"
