,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
0,Chemical Name,12,8,"['http://www.biopax.org/release/biopax-level3.owl#name', 'http://www.biopax.org/release/biopax-level3.owl#chemicalFormula', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.geneontology.org/formats/oboInOwl#hasOBONamespace']","['http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO']"
1,Chemical ID,23,13,"['http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#chemicalFormula', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM', 'http://data.bioontology.org/ontologies/HUGO']"
2,Cas RN,0,0,[],[]
3,Gene Symbol,10,10,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_']",['http://data.bioontology.org/ontologies/HUGO']
4,Gene ID,29,19,"['http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM', 'http://data.bioontology.org/ontologies/HUGO']"
5,Gene Forms,8,8,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_']",['http://data.bioontology.org/ontologies/HUGO']
6,Organism,1,1,['http://www.biopax.org/release/biopax-level3.owl#organism'],['http://data.bioontology.org/ontologies/BP']
7,Organism ID,23,13,"['http://www.biopax.org/release/biopax-level3.owl#organism', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM', 'http://data.bioontology.org/ontologies/HUGO']"
8,Interaction,2,2,"['http://www.biopax.org/release/biopax-level3.owl#interactionScore', 'http://www.biopax.org/release/biopax-level3.owl#interactionType']",['http://data.bioontology.org/ontologies/BP']
9,Interaction Actions,2,2,"['http://www.biopax.org/release/biopax-level3.owl#interactionScore', 'http://www.biopax.org/release/biopax-level3.owl#interactionType']",['http://data.bioontology.org/ontologies/BP']
