,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
0,hgnc id,23,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_ID', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
1,symbol,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']",['http://data.bioontology.org/ontologies/HUGO']
2,name,11,7,"['http://www.biopax.org/release/biopax-level3.owl#name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.geneontology.org/formats/oboInOwl#hasOBONamespace']","['http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO']"
3,locus group,3,3,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Group', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Specific_Databases', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Type']",['http://data.bioontology.org/ontologies/HUGO']
4,locus type,16,14,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Type', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Group', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Locus_Specific_Databases', 'http://www.geneontology.org/formats/oboInOwl#hasSynonymType', 'http://www.geneontology.org/formats/oboInOwl#SynonymTypeProperty', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Record_Type', 'http://www.biopax.org/release/biopax-level3.owl#cellType', 'http://www.biopax.org/release/biopax-level3.owl#controlType', 'http://www.biopax.org/release/biopax-level3.owl#entityReferenceType', 'http://www.biopax.org/release/biopax-level3.owl#featureLocationType', 'http://www.biopax.org/release/biopax-level3.owl#interactionType', 'http://www.biopax.org/release/biopax-level3.owl#modificationType', 'http://www.biopax.org/release/biopax-level3.owl#regionType', 'http://www.biopax.org/release/biopax-level3.owl#relationshipType']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/BP']"
5,status,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Status', 'http://www.biopax.org/release/biopax-level3.owl#positionStatus']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/BP']"
6,location,4,4,"['http://www.bootstrep.eu/ontology/GRO#locationOf', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#featureLocation', 'http://www.biopax.org/release/biopax-level3.owl#featureLocationType']","['http://data.bioontology.org/ontologies/GRO', 'http://data.bioontology.org/ontologies/BP']"
7,location sortable,4,4,"['http://www.bootstrep.eu/ontology/GRO#locationOf', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#featureLocation', 'http://www.biopax.org/release/biopax-level3.owl#featureLocationType']","['http://data.bioontology.org/ontologies/GRO', 'http://data.bioontology.org/ontologies/BP']"
8,alias symbol,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']",['http://data.bioontology.org/ontologies/HUGO']
9,alias name,11,7,"['http://www.biopax.org/release/biopax-level3.owl#name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.geneontology.org/formats/oboInOwl#hasOBONamespace']","['http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO']"
