,column_name,no_results(duplicates),no_results(no duplicates),results,vocab_list
0,PharmGKB Accession Id,23,13,"['http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Accession_Numbers', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM', 'http://data.bioontology.org/ontologies/HUGO']"
1,NCBI Gene ID,30,20,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Gene_Family_Tag', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_ID', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_ID', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#KZNF_Gene_Catalog_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#IMGT_GENE-DB_LINK', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#RefSeq__mapped_data_supplied_by_NCBI_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
2,HGNC ID,23,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#HGNC_ID', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
3,Ensembl Id,23,13,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_ID__mapped_data_supplied_by_Ensembl_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Ensembl_Gene_ID', 'http://www.geneontology.org/formats/oboInOwl#id', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#GDB_ID__mapped_data_', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Entrez_Gene_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Mouse_Genome_Database_ID__mapped_data_supplied_by_MGI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#OMIM_ID__mapped_data_supplied_by_NCBI_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Rat_Genome_Database_ID__mapped_data_supplied_by_RGD_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UCSC_ID__mapped_data_supplied_by_UCSC_', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#UniProt_ID__mapped_data_supplied_by_UniProt_']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
4,Name,11,7,"['http://www.biopax.org/release/biopax-level3.owl#name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Name', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Name_Changed', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Name_Aliases', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.geneontology.org/formats/oboInOwl#hasOBONamespace']","['http://data.bioontology.org/ontologies/BP', 'http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO']"
5,Symbol,2,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Approved_Symbol', 'http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Date_Symbol_Changed']",['http://data.bioontology.org/ontologies/HUGO']
6,Alternate Names,6,2,"['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Previous_Names', 'http://www.geneontology.org/formats/oboInOwl#hasOBONamespace']","['http://data.bioontology.org/ontologies/HUGO', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO']"
7,Alternate Symbols,1,1,['http://ncicb.nci.nih.gov/xml/owl/EVS/Hugo.owl#Previous_Symbols'],['http://data.bioontology.org/ontologies/HUGO']
8,Is VIP,2,2,"['http://www.geneontology.org/formats/oboInOwl#is_class_level', 'http://www.geneontology.org/formats/oboInOwl#is_metadata_tag']",['http://data.bioontology.org/ontologies/GO']
9,Has Variant Annotation,55,21,"['http://purl.obolibrary.org/obo/go#high_level_annotation_qc', 'http://purl.obolibrary.org/obo/OBO_REL#_has_part', 'http://purl.obolibrary.org/obo/BFO_0000051', 'http://www.geneontology.org/formats/oboInOwl#hasAlternativeId', 'http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym', 'http://www.geneontology.org/formats/oboInOwl#hasExactSynonym', 'http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym', 'http://www.geneontology.org/formats/oboInOwl#hasOBONamespace', 'http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym', 'http://www.geneontology.org/formats/oboInOwl#hasScope', 'http://www.geneontology.org/formats/oboInOwl#hasSynonymType', 'http://www.bootstrep.eu/ontology/GRO#hasAgent', 'http://www.bootstrep.eu/ontology/GRO#hasFunction', 'http://www.bootstrep.eu/ontology/GRO#hasPart', 'http://www.bootstrep.eu/ontology/GRO#hasParticipant', 'http://www.bootstrep.eu/ontology/GRO#hasPatient', 'http://www.bootstrep.eu/ontology/GRO#hasPhysicalContact', 'http://www.bootstrep.eu/ontology/GRO#hasPolarity', 'http://www.bootstrep.eu/ontology/GRO#hasQuality', 'http://www.geneontology.org/formats/oboInOwl#hasOBOFormatVersion', 'http://www.geneontology.org/formats/oboInOwl#hasDbXref']","['http://data.bioontology.org/ontologies/GO-EXT', 'http://data.bioontology.org/ontologies/GO', 'http://data.bioontology.org/ontologies/PW', 'http://data.bioontology.org/ontologies/GEXO', 'http://data.bioontology.org/ontologies/GRO', 'http://data.bioontology.org/ontologies/NIGO', 'http://data.bioontology.org/ontologies/MEGO', 'http://data.bioontology.org/ontologies/GMM']"
