,column_name,no_results,results,vocab_list
0,GenAge ID,6,"['http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000673', 'http://semanticscience.org/resource/SIO_001242', 'http://semanticscience.org/resource/SIO_000672', 'http://semanticscience.org/resource/SIO_000674']",['http://data.bioontology.org/ontologies/SIO']
1,symbol,0,[],[]
2,aliases,0,[],[]
3,name,2,"['http://purl.org/dc/terms/alternativeName', 'http://purl.org/dc/elements/1.1/alternativeName']",['http://data.bioontology.org/ontologies/SIO']
4,entrez gene id,7,"['http://semanticscience.org/resource/SIO_001097', 'http://semanticscience.org/resource/SIO_000425', 'http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000673', 'http://semanticscience.org/resource/SIO_001242', 'http://semanticscience.org/resource/SIO_000672', 'http://semanticscience.org/resource/SIO_000674']",['http://data.bioontology.org/ontologies/SIO']
5,uniprot,0,[],[]
6,why,0,[],[]
7,band,0,[],[]
8,location start,3,"['http://semanticscience.org/resource/SIO_000145', 'http://semanticscience.org/resource/SIO_000680', 'http://semanticscience.org/resource/SIO_000682']",['http://data.bioontology.org/ontologies/SIO']
9,location end,3,"['http://semanticscience.org/resource/SIO_000145', 'http://semanticscience.org/resource/SIO_000681', 'http://semanticscience.org/resource/SIO_000684']",['http://data.bioontology.org/ontologies/SIO']
10,orientation,0,[],[]
11,acc promoter,0,[],[]
12,acc orf,0,[],[]
13,acc cds,0,[],[]
14,references,1,['http://semanticscience.org/resource/SIO_000631'],['http://data.bioontology.org/ontologies/SIO']
15,orthologs,0,[],[]
