,column_name,no_results,results,vocab_list
0,symbol,1,[],[]
1,name,0,[],[]
2,locus group,0,[],[]
3,locus type,1,['http://bioportal.bioontology.org/ontologies/umls/hasSTY'],['http://data.bioontology.org/ontologies/MESH']
4,status,0,[],[]
5,location,0,[],[]
6,location sortable,0,[],[]
7,alias symbol,0,[],[]
8,alias name,0,[],[]
9,prev symbol,0,[],[]
10,prev name,0,[],[]
11,gene family,0,[],[]
12,gene family id,0,[],[]
13,date approved reserved,0,[],[]
14,date symbol changed,0,[],[]
15,date name changed,0,[],[]
16,date modified,0,[],[]
17,entrez id,0,[],[]
18,ensembl gene id,0,[],[]
19,vega id,0,[],[]
20,ucsc id,0,[],[]
21,ena,0,[],[]
22,refseq accession,0,[],[]
23,ccds id,0,[],[]
24,uniprot ids,0,[],[]
25,pubmed id,0,[],[]
26,mgd id,0,[],[]
27,rgd id,0,[],[]
28,lsdb,0,[],[]
29,cosmic,0,[],[]
30,omim id,0,[],[]
31,mirbase,0,[],[]
32,homeodb,0,[],[]
33,snornabase,0,[],[]
34,bioparadigms slc,0,[],[]
35,orphanet,0,[],[]
36,pseudogene.org,0,[],[]
37,horde id,0,[],[]
38,merops,0,[],[]
39,imgt,0,[],[]
40,iuphar,0,[],[]
41,kznf gene catalog,0,[],[]
42,mamit-trnadb,0,[],[]
43,cd,0,[],[]
44,lncrnadb,0,[],[]
45,enzyme id,0,[],[]
46,intermediate filament db,0,[],[]
47,rna central ids,0,[],[]
