,column_name,no_results,results,vocab_list
0,NCBI Gene ID,1,[],[]
1,HGNC ID,0,[],[]
2,Ensembl Id,0,[],[]
3,Name,0,[],[]
4,Symbol,0,[],[]
5,Alternate Names,0,[],[]
6,Alternate Symbols,0,[],[]
7,Is VIP,2,"['http://purl.bioontology.org/ontology/MESH/inverse_isa', 'http://purl.bioontology.org/ontology/MESH/isa']",['http://data.bioontology.org/ontologies/MESH']
8,Has Variant Annotation,2,"['http://bioportal.bioontology.org/ontologies/umls/hasSTY', 'http://purl.bioontology.org/ontology/MESH/has_mapping_qualifier']",['http://data.bioontology.org/ontologies/MESH']
9,Cross-references,0,[],[]
10,Has CPIC Dosing Guideline,2,"['http://bioportal.bioontology.org/ontologies/umls/hasSTY', 'http://purl.bioontology.org/ontology/MESH/has_mapping_qualifier']",['http://data.bioontology.org/ontologies/MESH']
11,Chromosome,0,[],[]
12,Chromosomal Start - GRCh37.p13,0,[],[]
13,Chromosomal Stop - GRCh37.p13,0,[],[]
14,Chromosomal Start - GRCh38.p7,0,[],[]
15,Chromosomal Stop - GRCh38.p7,0,[],[]
