,column_name,no_results,results,vocab_list
0,NCBI Gene ID,8,"['http://semanticscience.org/resource/SIO_001097', 'http://semanticscience.org/resource/SIO_000425', 'http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000673', 'http://semanticscience.org/resource/SIO_001242', 'http://semanticscience.org/resource/SIO_000672', 'http://semanticscience.org/resource/SIO_000674']",['http://data.bioontology.org/ontologies/SIO']
1,HGNC ID,5,"['http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000673', 'http://semanticscience.org/resource/SIO_001242', 'http://semanticscience.org/resource/SIO_000672', 'http://semanticscience.org/resource/SIO_000674']",['http://data.bioontology.org/ontologies/SIO']
2,Ensembl Id,5,"['http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000673', 'http://semanticscience.org/resource/SIO_001242', 'http://semanticscience.org/resource/SIO_000672', 'http://semanticscience.org/resource/SIO_000674']",['http://data.bioontology.org/ontologies/SIO']
3,Name,2,"['http://purl.org/dc/terms/alternativeName', 'http://purl.org/dc/elements/1.1/alternativeName']",['http://data.bioontology.org/ontologies/SIO']
4,Symbol,0,[],[]
5,Alternate Names,1,['http://semanticscience.org/resource/SIO_001098'],['http://data.bioontology.org/ontologies/SIO']
6,Alternate Symbols,1,['http://semanticscience.org/resource/SIO_001098'],['http://data.bioontology.org/ontologies/SIO']
7,Is VIP,138,"['http://semanticscience.org/resource/SIO_000332', 'http://semanticscience.org/resource/SIO_000204', 'http://semanticscience.org/resource/SIO_001159', 'http://semanticscience.org/resource/SIO_000063', 'http://semanticscience.org/resource/SIO_001098', 'http://semanticscience.org/resource/SIO_000254', 'http://semanticscience.org/resource/SIO_001403', 'http://semanticscience.org/resource/SIO_000011', 'http://semanticscience.org/resource/SIO_000642', 'http://semanticscience.org/resource/SIO_000096', 'http://semanticscience.org/resource/SIO_000491', 'http://semanticscience.org/resource/SIO_000477', 'http://semanticscience.org/resource/SIO_000422', 'http://semanticscience.org/resource/SIO_000646', 'http://semanticscience.org/resource/SIO_000352', 'http://semanticscience.org/resource/SIO_000294', 'http://semanticscience.org/resource/SIO_000243', 'http://semanticscience.org/resource/SIO_000278', 'http://semanticscience.org/resource/SIO_000490', 'http://semanticscience.org/resource/SIO_000736', 'http://semanticscience.org/resource/SIO_000313', 'http://semanticscience.org/resource/SIO_000214', 'http://semanticscience.org/resource/SIO_000203', 'http://semanticscience.org/resource/SIO_000128', 'http://semanticscience.org/resource/SIO_001404', 'http://semanticscience.org/resource/SIO_000334', 'http://semanticscience.org/resource/SIO_000288', 'http://semanticscience.org/resource/SIO_000365', 'http://semanticscience.org/resource/SIO_001278', 'http://semanticscience.org/resource/SIO_000060', 'http://semanticscience.org/resource/SIO_000244', 'http://semanticscience.org/resource/SIO_000557', 'http://semanticscience.org/resource/SIO_000310', 'http://semanticscience.org/resource/SIO_000241', 'http://semanticscience.org/resource/SIO_000242', 'http://semanticscience.org/resource/SIO_000652', 'http://semanticscience.org/resource/SIO_000236', 'http://semanticscience.org/resource/SIO_000207', 'http://semanticscience.org/resource/SIO_000209', 'http://semanticscience.org/resource/SIO_000495', 'http://semanticscience.org/resource/SIO_010079', 'http://semanticscience.org/resource/SIO_000684', 'http://semanticscience.org/resource/SIO_000738', 'http://semanticscience.org/resource/SIO_000773', 'http://semanticscience.org/resource/SIO_000484', 'http://semanticscience.org/resource/SIO_000421', 'http://semanticscience.org/resource/SIO_000970', 'http://semanticscience.org/resource/SIO_000901', 'http://semanticscience.org/resource/SIO_000226', 'http://semanticscience.org/resource/SIO_001097']",['http://data.bioontology.org/ontologies/SIO']
8,Has Variant Annotation,49,"['http://semanticscience.org/resource/SIO_000255', 'http://semanticscience.org/resource/SIO_000254', 'http://semanticscience.org/resource/SIO_000272', 'http://semanticscience.org/resource/SIO_000139', 'http://semanticscience.org/resource/SIO_000008', 'http://semanticscience.org/resource/SIO_000641', 'http://semanticscience.org/resource/SIO_000054', 'http://semanticscience.org/resource/SIO_000586', 'http://semanticscience.org/resource/SIO_000213', 'http://semanticscience.org/resource/SIO_000364', 'http://semanticscience.org/resource/SIO_000235', 'http://semanticscience.org/resource/SIO_000772', 'http://semanticscience.org/resource/SIO_000420', 'http://semanticscience.org/resource/SIO_000900', 'http://semanticscience.org/resource/SIO_000225', 'http://semanticscience.org/resource/SIO_000671', 'http://semanticscience.org/resource/SIO_000234', 'http://semanticscience.org/resource/SIO_000230', 'http://semanticscience.org/resource/SIO_000059', 'http://semanticscience.org/resource/SIO_000229', 'http://semanticscience.org/resource/SIO_000552', 'http://semanticscience.org/resource/SIO_000028', 'http://semanticscience.org/resource/SIO_000132', 'http://semanticscience.org/resource/SIO_001279', 'http://semanticscience.org/resource/SIO_000312', 'http://semanticscience.org/resource/SIO_000223', 'http://semanticscience.org/resource/SIO_000066', 'http://semanticscience.org/resource/SIO_000217', 'http://semanticscience.org/resource/SIO_000228', 'http://semanticscience.org/resource/SIO_000253', 'http://semanticscience.org/resource/SIO_000905', 'http://semanticscience.org/resource/SIO_000291', 'http://semanticscience.org/resource/SIO_000635', 'http://semanticscience.org/resource/SIO_000221', 'http://semanticscience.org/resource/SIO_000300', 'http://semanticscience.org/resource/hasSynonym', 'http://semanticscience.org/resource/SIO_000369', 'http://semanticscience.org/resource/SIO_001277', 'http://semanticscience.org/resource/SIO_000273', 'http://semanticscience.org/resource/SIO_000681', 'http://semanticscience.org/resource/SIO_000971', 'http://semanticscience.org/resource/SIO_000972', 'http://semanticscience.org/resource/SIO_000216', 'http://semanticscience.org/resource/SIO_000974', 'http://semanticscience.org/resource/SIO_000053', 'http://semanticscience.org/resource/SIO_000644', 'http://semanticscience.org/resource/SIO_000680', 'http://semanticscience.org/resource/SIO_000679', 'http://semanticscience.org/resource/SIO_000673']",['http://data.bioontology.org/ontologies/SIO']
9,Cross-references,1,['http://semanticscience.org/resource/SIO_000631'],['http://data.bioontology.org/ontologies/SIO']
