,column_name,no_results,results,vocab_list
0,Chemical ID,22,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://www.biopax.org/release/biopax-level3.owl#structure', 'http://www.biopax.org/release/biopax-level3.owl#structureFormat', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#chemicalFormula', 'http://www.biopax.org/release/biopax-level3.owl#cellType', 'http://www.biopax.org/release/biopax-level3.owl#structureData', 'http://www.biopax.org/release/biopax-level3.owl#catalysisDirection']","['biopax', 'txn', 'obo', 'taxon', 'hifm']"
1,Cas RN,0,[],[]
2,Gene Symbol,10,"['http://purl.uniprot.org/core/encodedBy', 'http://semanticscience.org/resource/SIO_000205', 'http://semanticscience.org/resource/SIO_000210', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFormEntity', 'http://semanticscience.org/resource/SIO_000634', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://semanticscience.org/resource/SIO_000630', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#catalysisDirection']","['biopax', 'sio', 'uniprot']"
3,Gene ID,25,"['http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://purl.uniprot.org/core/encodedBy', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFormEntity', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://semanticscience.org/resource/SIO_000634', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://semanticscience.org/resource/SIO_000630', 'http://www.biopax.org/release/biopax-level3.owl#cellType', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#catalysisDirection']","['biopax', 'txn', 'obo', 'sio', 'taxon', 'hifm', 'uniprot']"
4,Gene Forms,29,"['http://purl.uniprot.org/core/encodedBy', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFormEntity', 'http://www.biopax.org/release/biopax-level3.owl#experimentalForm', 'http://semanticscience.org/resource/SIO_000641', 'http://semanticscience.org/resource/SIO_000634', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://semanticscience.org/resource/SIO_000630', 'http://purl.org/NET/biol/ns#class', 'http://purl.org/NET/biol/ns#phylum', 'http://purl.org/NET/biol/ns#species', 'http://purl.org/NET/biol/ns#authority', 'http://purl.org/NET/biol/ns#name', 'http://purl.org/NET/biol/ns#secondLevelClassification', 'http://purl.org/NET/biol/ns#seeAlso', 'http://purl.org/NET/biol/ns#genus', 'http://purl.org/NET/biol/ns#hasTaxonomy', 'http://purl.org/NET/biol/ns#kingdom', 'http://purl.org/NET/biol/ns#morePrecise', 'http://purl.org/NET/biol/ns#order', 'http://purl.org/NET/biol/ns#rank', 'http://purl.org/NET/biol/ns#commonName', 'http://purl.org/NET/biol/ns#division', 'http://purl.org/NET/biol/ns#family', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#catalysisDirection', 'http://www.biopax.org/release/biopax-level3.owl#kPrime', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC16_is_composed_of', 'http://www.biopax.org/release/biopax-level3.owl#kEQ']","['biol', 'biopax', 'sio', 'mtlo', 'uniprot']"
5,Organism,3,"['http://purl.uniprot.org/core/organism', 'http://www.biopax.org/release/biopax-level3.owl#organism', 'http://lod.taxonconcept.org/ontology/txn.owl#isExpectedIn']","['biopax', 'txn', 'uniprot']"
6,Organism ID,20,"['http://purl.uniprot.org/core/organism', 'http://purl.obolibrary.org/obo/IAO_0000596', 'http://purl.obolibrary.org/obo/IAO_0000603', 'http://purl.obolibrary.org/obo/IAO_0000599', 'http://purl.obolibrary.org/obo/IAO_0000597', 'http://purl.obolibrary.org/obo/IAO_0000598', 'http://lod.taxonconcept.org/ontology/txn.owl#hasITIS', 'http://lod.taxonconcept.org/ontology/txn.owl#hasNCBI', 'http://lod.taxonconcept.org/ontology/txn.owl#hasBOLD', 'http://lod.taxonconcept.org/ontology/txn.owl#hasEOL', 'http://lod.taxonconcept.org/ontology/txn.owl#hasGBIF', 'http://www.biopax.org/release/biopax-level3.owl#organism', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://purl.org/net/hifm/ontology#id', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://www.biopax.org/release/biopax-level3.owl#cellType', 'http://lod.taxonconcept.org/ontology/txn.owl#isExpectedIn']","['txn', 'obo', 'biopax', 'taxon', 'hifm', 'uniprot']"
7,Interaction,13,"['http://purl.uniprot.org/core/interaction', 'http://www.biopax.org/release/biopax-level3.owl#interactionType', 'http://www.biopax.org/release/biopax-level3.owl#interactionScore', 'http://purl.uniprot.org/core/participant', 'http://www.biopax.org/release/biopax-level3.owl#phenotype', 'http://www.biopax.org/release/biopax-level3.owl#stepProcess', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFeature', 'http://www.biopax.org/release/biopax-level3.owl#stoichiometricCoefficient', 'http://www.biopax.org/release/biopax-level3.owl#right', 'http://www.biopax.org/release/biopax-level3.owl#left', 'http://www.biopax.org/release/biopax-level3.owl#participant', 'http://www.biopax.org/release/biopax-level3.owl#pathwayComponent', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation']","['biopax', 'uniprot']"
8,Interaction Actions,12,"['http://www.biopax.org/release/biopax-level3.owl#interactionScore', 'http://purl.uniprot.org/core/participant', 'http://www.biopax.org/release/biopax-level3.owl#phenotype', 'http://www.biopax.org/release/biopax-level3.owl#stepProcess', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFeature', 'http://www.biopax.org/release/biopax-level3.owl#interactionType', 'http://www.biopax.org/release/biopax-level3.owl#stoichiometricCoefficient', 'http://www.biopax.org/release/biopax-level3.owl#right', 'http://www.biopax.org/release/biopax-level3.owl#left', 'http://www.biopax.org/release/biopax-level3.owl#participant', 'http://www.biopax.org/release/biopax-level3.owl#pathwayComponent', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation']","['biopax', 'uniprot']"
9,PubMed IDs,1,['http://lod.taxonconcept.org/ontology/txn.owl#hasCitation'],['txn']
