,column_name,no_results,results,vocab_list
0,symbol,2,"['http://semanticscience.org/resource/SIO_000210', 'http://semanticscience.org/resource/SIO_000205']",['sio']
1,name,92,"['http://purl.org/ontology/wo/name', 'http://www.biopax.org/release/biopax-level3.owl#db', 'http://purl.org/ontology/wo/genusName', 'http://purl.org/ontology/wo/phylumName', 'http://purl.org/ontology/wo/taxonomicName', 'http://purl.org/ontology/wo/className', 'http://purl.org/ontology/wo/familyName', 'http://purl.org/ontology/wo/kingdomName', 'http://purl.org/ontology/wo/commonName', 'http://purl.org/ontology/wo/orderName', 'http://purl.org/ontology/wo/scientificName', 'http://purl.org/ontology/wo/speciesName', 'http://purl.uniprot.org/core/name', 'http://purl.org/NET/biol/ns#name', 'http://www.biopax.org/release/biopax-level3.owl#name', 'http://purl.uniprot.org/core/ecName', 'http://purl.uniprot.org/core/orfName', 'http://purl.uniprot.org/core/scientificName', 'http://purl.uniprot.org/core/commonName', 'http://purl.uniprot.org/core/locusName', 'http://purl.uniprot.org/core/otherName', 'http://purl.org/NET/biol/ns#commonName', 'http://purl.uniprot.org/core/fullName', 'http://lod.taxonconcept.org/ontology/txn.owl#nameYear', 'http://purl.uniprot.org/core/shortName', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#commonName', 'http://lod.taxonconcept.org/ontology/txn.owl#synonymName', 'http://purl.uniprot.org/core/biotechName', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://purl.org/biodiversity/taxon/commonName', 'http://lod.taxonconcept.org/ontology/txn.owl#nameYearOf', 'http://purl.uniprot.org/core/submittedName', 'http://lod.taxonconcept.org/ontology/txn.owl#acceptedName', 'http://purl.uniprot.org/core/cdAntigenName', 'http://lod.taxonconcept.org/ontology/txn.owl#locationName', 'http://lod.taxonconcept.org/ontology/txn.owl#surrogateName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://lod.taxonconcept.org/ontology/txn.owl#originalName', 'http://purl.uniprot.org/core/allergenName', 'http://purl.org/biodiversity/taxon/scientificName', 'http://purl.uniprot.org/core/structuredName', 'http://lod.taxonconcept.org/ontology/txn.owl#scientificName', 'http://purl.uniprot.org/core/recommendedName', 'http://lod.taxonconcept.org/ontology/txn.owl#acceptedNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#hasAcceptedName', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#hasOriginalName', 'http://lod.taxonconcept.org/ontology/txn.owl#originalNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#homotypicNameID', 'http://purl.uniprot.org/core/alternativeName', 'http://purl.org/biodiversity/taxon/relatedTaxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#isTaxonNameID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#originalNameID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameGroupID', 'http://lod.taxonconcept.org/ontology/txn.owl#botanyAuthorName', 'http://lod.taxonconcept.org/ontology/txn.owl#relatedTaxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#altAcceptedNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#heterotypicNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#zoologyAuthorName', 'http://purl.uniprot.org/core/structuredNameType', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#heterochresonymID', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#orthochresonymID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameGroupID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#altAcceptedNameID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#acceptedTaxonNameID_Of', 'http://purl.org/biodiversity/taxon/relatedTaxonNameID_Of', 'http://purl.org/biodiversity/taxon/binomial', 'http://purl.org/biodiversity/taxon/monomial', 'http://purl.org/net/hifm/ontology#id', 'http://purl.org/net/hifm/ontology#notes', 'http://purl.org/net/hifm/ontology#dosageForm', 'http://purl.uniprot.org/core/alias', 'http://purl.org/net/hifm/ontology#manufacturer', 'http://purl.org/net/hifm/ontology#packaging', 'http://purl.org/net/hifm/ontology#refPriceNoVAT', 'http://purl.org/net/hifm/ontology#refPriceWithVAT', 'http://purl.org/net/hifm/ontology#similarTo', 'http://semanticscience.org/resource/SIO_000631', 'http://purl.org/net/hifm/ontology#strength', 'http://lod.taxonconcept.org/ontology/txn.owl#scientificNameAuthorship', 'http://lod.taxonconcept.org/ontology/txn.owl#scientificNameWithAuthor', 'http://purl.uniprot.org/core/internationalNonproprietaryName', 'http://purl.org/biodiversity/taxon/trinomial', 'http://purl.uniprot.org/core/place', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC4_has_appellation', 'http://www.biopax.org/release/biopax-level3.owl#dataSource', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC1_is_identified_by']","['txn', 'uniprot', 'wlo', 'hifm', 'taxon', 'biopax', 'biol', 'mtlo', 'sio']"
2,locus group,102,"['http://purl.org/NET/biol/botany#group', 'http://www.biopax.org/release/biopax-level3.owl#id', 'http://www.biopax.org/release/biopax-level3.owl#db', 'http://purl.org/biotop/biotop.owl#locusOf', 'http://purl.org/biotop/biotop.owl#hasLocus', 'http://purl.uniprot.org/core/locusName', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameGroupID', 'http://purl.uniprot.org/core/group', 'http://www.biopax.org/release/biopax-level3.owl#memberEntityReference', 'http://www.biopax.org/release/biopax-level3.owl#entityReferenceType', 'http://www.biopax.org/release/biopax-level3.owl#evidenceCode', 'http://www.biopax.org/release/biopax-level3.owl#feature', 'http://www.biopax.org/release/biopax-level3.owl#idVersion', 'http://www.biopax.org/release/biopax-level3.owl#kEQ', 'http://www.biopax.org/release/biopax-level3.owl#memberFeature', 'http://www.biopax.org/release/biopax-level3.owl#memberPhysicalEntity', 'http://www.biopax.org/release/biopax-level3.owl#molecularWeight', 'http://www.biopax.org/release/biopax-level3.owl#pathwayOrder', 'http://www.biopax.org/release/biopax-level3.owl#patoData', 'http://www.biopax.org/release/biopax-level3.owl#ph', 'http://www.biopax.org/release/biopax-level3.owl#positionStatus', 'http://www.biopax.org/release/biopax-level3.owl#regionType', 'http://www.biopax.org/release/biopax-level3.owl#sequenceIntervalEnd', 'http://www.biopax.org/release/biopax-level3.owl#stepConversion', 'http://www.biopax.org/release/biopax-level3.owl#structure', 'http://www.biopax.org/release/biopax-level3.owl#structureFormat', 'http://www.biopax.org/release/biopax-level3.owl#temperature', 'http://www.biopax.org/release/biopax-level3.owl#templateDirection', 'http://www.biopax.org/release/biopax-level3.owl#tissue', 'http://www.biopax.org/release/biopax-level3.owl#title', 'http://www.biopax.org/release/biopax-level3.owl#absoluteRegion', 'http://www.biopax.org/release/biopax-level3.owl#bindsTo', 'http://www.biopax.org/release/biopax-level3.owl#component', 'http://www.biopax.org/release/biopax-level3.owl#componentStoichiometry', 'http://www.biopax.org/release/biopax-level3.owl#controlType', 'http://www.biopax.org/release/biopax-level3.owl#dataSource', 'http://www.biopax.org/release/biopax-level3.owl#deltaGPrime0', 'http://www.biopax.org/release/biopax-level3.owl#deltaS', 'http://www.biopax.org/release/biopax-level3.owl#eCNumber', 'http://www.biopax.org/release/biopax-level3.owl#availability', 'http://www.biopax.org/release/biopax-level3.owl#controlled', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFeature', 'http://www.biopax.org/release/biopax-level3.owl#featureLocation', 'http://www.biopax.org/release/biopax-level3.owl#interactionType', 'http://www.biopax.org/release/biopax-level3.owl#ionicStrength', 'http://www.biopax.org/release/biopax-level3.owl#kPrime', 'http://www.biopax.org/release/biopax-level3.owl#modificationType', 'http://www.biopax.org/release/biopax-level3.owl#organism', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#stepProcess', 'http://www.biopax.org/release/biopax-level3.owl#subRegion', 'http://www.biopax.org/release/biopax-level3.owl#url', 'http://www.biopax.org/release/biopax-level3.owl#term', 'http://www.biopax.org/release/biopax-level3.owl#author', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#confidence', 'http://www.biopax.org/release/biopax-level3.owl#controller', 'http://www.biopax.org/release/biopax-level3.owl#conversionDirection', 'http://www.biopax.org/release/biopax-level3.owl#dbVersion', 'http://www.biopax.org/release/biopax-level3.owl#deltaG', 'http://www.biopax.org/release/biopax-level3.owl#evidence', 'http://www.biopax.org/release/biopax-level3.owl#experimentalForm', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFormDescription', 'http://www.biopax.org/release/biopax-level3.owl#left', 'http://www.biopax.org/release/biopax-level3.owl#scoreSource', 'http://www.biopax.org/release/biopax-level3.owl#sequenceIntervalBegin', 'http://www.biopax.org/release/biopax-level3.owl#catalysisDirection', 'http://www.biopax.org/release/biopax-level3.owl#cellType', 'http://www.biopax.org/release/biopax-level3.owl#chemicalFormula', 'http://www.biopax.org/release/biopax-level3.owl#comment', 'http://www.biopax.org/release/biopax-level3.owl#deltaH', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#entityReference', 'http://www.biopax.org/release/biopax-level3.owl#name', 'http://www.biopax.org/release/biopax-level3.owl#notFeature', 'http://www.biopax.org/release/biopax-level3.owl#participant', 'http://www.biopax.org/release/biopax-level3.owl#participantStoichiometry', 'http://www.biopax.org/release/biopax-level3.owl#pathwayComponent', 'http://www.biopax.org/release/biopax-level3.owl#relationshipType', 'http://www.biopax.org/release/biopax-level3.owl#right', 'http://www.biopax.org/release/biopax-level3.owl#source', 'http://www.biopax.org/release/biopax-level3.owl#xref', 'http://www.biopax.org/release/biopax-level3.owl#year', 'http://www.biopax.org/release/biopax-level3.owl#cofactor', 'http://www.biopax.org/release/biopax-level3.owl#entityFeature', 'http://www.biopax.org/release/biopax-level3.owl#experimentalFormEntity', 'http://www.biopax.org/release/biopax-level3.owl#featureLocationType', 'http://www.biopax.org/release/biopax-level3.owl#interactionScore', 'http://www.biopax.org/release/biopax-level3.owl#intraMolecular', 'http://www.biopax.org/release/biopax-level3.owl#nextStep', 'http://www.biopax.org/release/biopax-level3.owl#pMg', 'http://www.biopax.org/release/biopax-level3.owl#phenotype', 'http://www.biopax.org/release/biopax-level3.owl#physicalEntity', 'http://www.biopax.org/release/biopax-level3.owl#product', 'http://www.biopax.org/release/biopax-level3.owl#sequence', 'http://www.biopax.org/release/biopax-level3.owl#sequencePosition', 'http://www.biopax.org/release/biopax-level3.owl#spontaneous', 'http://www.biopax.org/release/biopax-level3.owl#stepDirection', 'http://www.biopax.org/release/biopax-level3.owl#stoichiometricCoefficient', 'http://www.biopax.org/release/biopax-level3.owl#structureData', 'http://www.biopax.org/release/biopax-level3.owl#template', 'http://www.biopax.org/release/biopax-level3.owl#value']","['biopax', 'biotop', 'uniprot', 'botany', 'txn']"
3,locus type,31,"['http://purl.org/biotop/biotop.owl#locusOf', 'http://purl.org/biotop/biotop.owl#hasLocus', 'http://purl.uniprot.org/core/locusName', 'http://purl.obolibrary.org/obo/IAO_0000411', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LT1_usually_is_identified_by', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LT7_usually_is_carried_out_by', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LT3_usaually_is_component_of', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LT8_usually_belongs_to', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LT6_usually_is_about', 'http://lod.taxonconcept.org/ontology/txn.owl#sodHasTypeSpecimen', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LT4_usually_use_to_appear', 'http://semanticscience.org/resource/SIO_000011', 'http://lod.taxonconcept.org/ontology/txn.owl#hasSpeciesConceptID', 'http://semanticscience.org/resource/SIO_000008', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LT5_usually_is_predator_of', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LX6_assigned_attribute_to_type', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC21_has_unit', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LT2_usually_consists_of', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LX1_is_identified_by', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LX4_has_appellation', 'http://www.biopax.org/release/biopax-level3.owl#entityReferenceType', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LX2_is_about_type', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LX7_observed_propery', 'http://www.biopax.org/release/biopax-level3.owl#featureLocationType', 'http://www.biopax.org/release/biopax-level3.owl#cellType', 'http://www.biopax.org/release/biopax-level3.owl#interactionType', 'http://www.biopax.org/release/biopax-level3.owl#relationshipType', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC45_has_spatial_projection', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC43_occupied', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC44_has_temporal_projection', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC46_observed_value']","['mtlo', 'biopax', 'biotop', 'sio', 'txn', 'obo', 'uniprot']"
4,status,12,"['http://purl.org/ontology/wo/conservationStatus', 'http://purl.org/ontology/wo/redListStatus', 'http://purl.uniprot.org/core/status', 'http://purl.obolibrary.org/obo/IAO_0000114', 'http://lod.taxonconcept.org/ontology/txn.owl#conceptStatus', 'http://purl.org/ontology/wo/yearAssessed', 'http://www.biopax.org/release/biopax-level3.owl#positionStatus', 'http://lod.taxonconcept.org/ontology/txn.owl#individualStatus', 'http://purl.org/ontology/wo/threatDescription', 'http://lod.taxonconcept.org/ontology/txn.owl#georeferenceVerificationStatus', 'http://purl.org/ontology/wo/populationTrend', 'http://www.biopax.org/release/biopax-level3.owl#sequencePosition']","['wlo', 'txn', 'biopax', 'obo', 'uniprot']"
5,location,18,"['http://purl.obolibrary.org/obo/RO_0001015', 'http://purl.org/biotop/biotop.owl#qualityLocationOf', 'http://semanticscience.org/resource/SIO_000145', 'http://purl.org/biotop/biotop.owl#physicalLocationOf', 'http://lod.taxonconcept.org/ontology/txn.owl#locationName', 'http://purl.uniprot.org/core/relatedLocation', 'http://www.biopax.org/release/biopax-level3.owl#featureLocation', 'http://purl.org/ontology/wo/distributionMap', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://lod.taxonconcept.org/ontology/txn.owl#georeferenceVerificationStatus', 'http://www.biopax.org/release/biopax-level3.owl#featureLocationType', 'http://purl.uniprot.org/core/encodedIn', 'http://www.biopax.org/release/biopax-level3.owl#absoluteRegion', 'http://lod.taxonconcept.org/ontology/txn.owl#hasUnknownExpectationOf', 'http://lod.taxonconcept.org/ontology/txn.owl#hasExpectationOf', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC15_took_place_at', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC47_took_place_at', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC48_assigned_dimension']","['biopax', 'txn', 'mtlo', 'biotop', 'uniprot', 'obo', 'sio', 'wlo']"
6,location sortable,16,"['http://purl.obolibrary.org/obo/RO_0001015', 'http://purl.org/biotop/biotop.owl#qualityLocationOf', 'http://semanticscience.org/resource/SIO_000145', 'http://purl.org/biotop/biotop.owl#physicalLocationOf', 'http://purl.org/ontology/wo/distributionMap', 'http://lod.taxonconcept.org/ontology/txn.owl#georeferenceVerificationStatus', 'http://purl.uniprot.org/core/encodedIn', 'http://www.biopax.org/release/biopax-level3.owl#cellularLocation', 'http://www.biopax.org/release/biopax-level3.owl#featureLocationType', 'http://www.biopax.org/release/biopax-level3.owl#absoluteRegion', 'http://lod.taxonconcept.org/ontology/txn.owl#hasExpectationOf', 'http://lod.taxonconcept.org/ontology/txn.owl#hasUnknownExpectationOf', 'http://www.biopax.org/release/biopax-level3.owl#featureLocation', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC15_took_place_at', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC47_took_place_at', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC48_assigned_dimension']","['biopax', 'mtlo', 'txn', 'biotop', 'obo', 'sio', 'uniprot', 'wlo']"
7,alias symbol,2,"['http://semanticscience.org/resource/SIO_000205', 'http://semanticscience.org/resource/SIO_000210']",['sio']
8,alias name,72,"['http://purl.org/ontology/wo/name', 'http://www.biopax.org/release/biopax-level3.owl#db', 'http://purl.org/ontology/wo/phylumName', 'http://purl.org/ontology/wo/taxonomicName', 'http://purl.org/ontology/wo/genusName', 'http://purl.org/ontology/wo/className', 'http://purl.org/ontology/wo/familyName', 'http://purl.org/ontology/wo/kingdomName', 'http://purl.org/ontology/wo/commonName', 'http://purl.org/ontology/wo/orderName', 'http://purl.org/ontology/wo/scientificName', 'http://purl.org/ontology/wo/speciesName', 'http://purl.uniprot.org/core/name', 'http://purl.org/NET/biol/ns#name', 'http://purl.uniprot.org/core/orfName', 'http://purl.uniprot.org/core/scientificName', 'http://purl.uniprot.org/core/commonName', 'http://purl.uniprot.org/core/locusName', 'http://purl.uniprot.org/core/otherName', 'http://purl.org/NET/biol/ns#commonName', 'http://purl.uniprot.org/core/fullName', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#heterochresonymID', 'http://purl.uniprot.org/core/recommendedName', 'http://purl.org/biodiversity/taxon/canonicalFormID', 'http://lod.taxonconcept.org/ontology/txn.owl#originalNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#homotypicNameID', 'http://purl.uniprot.org/core/alternativeName', 'http://lod.taxonconcept.org/ontology/txn.owl#relatedTaxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID_Of', 'http://purl.uniprot.org/core/biotechName', 'http://lod.taxonconcept.org/ontology/txn.owl#orthochresonymID', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#canonicalFormID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#heterotypicNameID', 'http://lod.taxonconcept.org/ontology/txn.owl#nameYear', 'http://purl.org/biodiversity/taxon/canonicalFormID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#taxonNameGroupID', 'http://purl.uniprot.org/core/shortName', 'http://purl.org/net/hifm/ontology#id', 'http://purl.org/net/hifm/ontology#notes', 'http://purl.org/biodiversity/taxon/binomial', 'http://purl.org/biodiversity/taxon/commonName', 'http://lod.taxonconcept.org/ontology/txn.owl#nameYearOf', 'http://purl.org/biodiversity/taxon/monomial', 'http://purl.org/biodiversity/taxon/relatedTaxonNameID_Of', 'http://lod.taxonconcept.org/ontology/txn.owl#altAcceptedNameID_Of', 'http://purl.uniprot.org/core/cdAntigenName', 'http://purl.org/biodiversity/taxon/relatedTaxonNameID', 'http://purl.org/net/hifm/ontology#dosageForm', 'http://purl.org/net/hifm/ontology#manufacturer', 'http://purl.org/net/hifm/ontology#packaging', 'http://purl.org/net/hifm/ontology#refPriceNoVAT', 'http://semanticscience.org/resource/SIO_000631', 'http://lod.taxonconcept.org/ontology/txn.owl#altAcceptedNameID', 'http://purl.uniprot.org/core/alias', 'http://purl.org/net/hifm/ontology#refPriceWithVAT', 'http://purl.org/net/hifm/ontology#similarTo', 'http://purl.org/net/hifm/ontology#strength', 'http://purl.uniprot.org/core/submittedName', 'http://purl.uniprot.org/core/internationalNonproprietaryName', 'http://lod.taxonconcept.org/ontology/txn.owl#acceptedNameID', 'http://purl.org/biodiversity/taxon/trinomial', 'http://purl.org/biodiversity/taxon/scientificName', 'http://purl.uniprot.org/core/place', 'http://www.biopax.org/release/biopax-level3.owl#displayName', 'http://www.biopax.org/release/biopax-level3.owl#standardName', 'http://www.biopax.org/release/biopax-level3.owl#name', 'http://purl.uniprot.org/core/ecName', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC4_has_appellation', 'http://www.biopax.org/release/biopax-level3.owl#dataSource', 'http://www.ics.forth.gr/isl/MarineTLO/v4/marinetlo.owl#LC1_is_identified_by']","['uniprot', 'txn', 'wlo', 'hifm', 'taxon', 'biopax', 'biol', 'mtlo', 'sio']"
9,prev symbol,2,"['http://semanticscience.org/resource/SIO_000205', 'http://semanticscience.org/resource/SIO_000210']",['sio']
